"C","Five-Minute Estimated Zonal Load"
"C","Filename: five_min_estimated_zonal_load_20260312.csv"
"C","Report for: 03/12/2026"
"C","Report generated 03/12/2026 20:14:52 EST"
"H","Date/Time","Load Zone ID","Load Zone Name","Estimated Native Load","Estimated Behind-the-Meter Solar"
"H","Date/Time","Number","String","MW","MW"
"D","03/12/2026 00:00:00",4001,".Z.MAINE",1244.163,0
"D","03/12/2026 00:00:00",4002,".Z.NEWHAMPSHIRE",1015.562,0
"D","03/12/2026 00:00:00",4003,".Z.VERMONT",519.072,0
"D","03/12/2026 00:00:00",4004,".Z.CONNECTICUT",2356.058,0
"D","03/12/2026 00:00:00",4005,".Z.RHODEISLAND",656.018,0
"D","03/12/2026 00:00:00",4006,".Z.SEMASS",1243.203,0
"D","03/12/2026 00:00:00",4007,".Z.WCMASS",1466.29,0
"D","03/12/2026 00:00:00",4008,".Z.NEMASSBOST",2341.058,0
"D","03/12/2026 00:05:00",4001,".Z.MAINE",1243.578,0
"D","03/12/2026 00:05:00",4002,".Z.NEWHAMPSHIRE",1008.561,0
"D","03/12/2026 00:05:00",4003,".Z.VERMONT",515.697,0
"D","03/12/2026 00:05:00",4004,".Z.CONNECTICUT",2344.195,0
"D","03/12/2026 00:05:00",4005,".Z.RHODEISLAND",648.451,0
"D","03/12/2026 00:05:00",4006,".Z.SEMASS",1235.239,0
"D","03/12/2026 00:05:00",4007,".Z.WCMASS",1458.805,0
"D","03/12/2026 00:05:00",4008,".Z.NEMASSBOST",2329.545,0
"D","03/12/2026 00:10:00",4001,".Z.MAINE",1236.984,0
"D","03/12/2026 00:10:00",4002,".Z.NEWHAMPSHIRE",1005.003,0
"D","03/12/2026 00:10:00",4003,".Z.VERMONT",517.897,0
"D","03/12/2026 00:10:00",4004,".Z.CONNECTICUT",2344.872,0
"D","03/12/2026 00:10:00",4005,".Z.RHODEISLAND",652.032,0
"D","03/12/2026 00:10:00",4006,".Z.SEMASS",1234.353,0
"D","03/12/2026 00:10:00",4007,".Z.WCMASS",1456.466,0
"D","03/12/2026 00:10:00",4008,".Z.NEMASSBOST",2331.186,0
"D","03/12/2026 00:15:00",4001,".Z.MAINE",1239.969,0
"D","03/12/2026 00:15:00",4002,".Z.NEWHAMPSHIRE",1002.172,0
"D","03/12/2026 00:15:00",4003,".Z.VERMONT",512.35,0
"D","03/12/2026 00:15:00",4004,".Z.CONNECTICUT",2328.698,0
"D","03/12/2026 00:15:00",4005,".Z.RHODEISLAND",655.715,0
"D","03/12/2026 00:15:00",4006,".Z.SEMASS",1226.684,0
"D","03/12/2026 00:15:00",4007,".Z.WCMASS",1450.686,0
"D","03/12/2026 00:15:00",4008,".Z.NEMASSBOST",2317.692,0
"D","03/12/2026 00:20:00",4001,".Z.MAINE",1238.976,0
"D","03/12/2026 00:20:00",4002,".Z.NEWHAMPSHIRE",993.873,0
"D","03/12/2026 00:20:00",4003,".Z.VERMONT",507.523,0
"D","03/12/2026 00:20:00",4004,".Z.CONNECTICUT",2314.736,0
"D","03/12/2026 00:20:00",4005,".Z.RHODEISLAND",653.597,0
"D","03/12/2026 00:20:00",4006,".Z.SEMASS",1218.52,0
"D","03/12/2026 00:20:00",4007,".Z.WCMASS",1445.693,0
"D","03/12/2026 00:20:00",4008,".Z.NEMASSBOST",2306.174,0
"D","03/12/2026 00:25:00",4001,".Z.MAINE",1237.311,0
"D","03/12/2026 00:25:00",4002,".Z.NEWHAMPSHIRE",992.043,0
"D","03/12/2026 00:25:00",4003,".Z.VERMONT",509.413,0
"D","03/12/2026 00:25:00",4004,".Z.CONNECTICUT",2303.413,0
"D","03/12/2026 00:25:00",4005,".Z.RHODEISLAND",648.256,0
"D","03/12/2026 00:25:00",4006,".Z.SEMASS",1217.463,0
"D","03/12/2026 00:25:00",4007,".Z.WCMASS",1442.287,0
"D","03/12/2026 00:25:00",4008,".Z.NEMASSBOST",2302.122,0
"D","03/12/2026 00:30:00",4001,".Z.MAINE",1227.599,0
